popularity,vote_average,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,nan
21.946943,7.7,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17.015539,6.9,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11.7129,6.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.859495,6.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8.387519,5.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.924927,7.7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.677277,6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.561161,5.4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.23158,5.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14.686036,6.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6.318445,6.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5.430331,5.7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12.140733,7.1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5.092,7.1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7.284477,5.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.137389,7.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.673167,7.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9.026586,6.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.205448,6.1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.337906,5.4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.669608,6.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
